,Meta,c,a_apc,Cyc_Period,Cyc_Amplitude
18455,0.0,0.3316582914572864,18.385951163565593,5.804245394486062,0.7780790073687432
18456,0.0,0.33768844221105526,18.385951163565593,5.724954398459612,0.7780669502967301
18457,0.0,0.3437185929648241,18.385951163565593,5.648668000576775,0.7780556347118064
18458,0.0,0.34974874371859294,18.385951163565593,5.575229845481074,0.7780434131217924
18459,0.0,0.3557788944723618,18.385951163565593,5.50456080644318,0.778031686576814
18460,0.0,0.36180904522613067,18.385951163565593,5.436325689013779,0.7780180557061003
18461,0.0,0.3678391959798995,18.385951163565593,5.3706070471970175,0.7780071803054658
18462,0.0,0.37386934673366834,18.385951163565593,5.307213766201672,0.7779947730619605
18463,0.0,0.3798994974874372,18.385951163565593,5.24605709207719,0.7779824517801939
18464,0.0,0.385929648241206,18.385951163565593,5.1869718470962365,0.777970807137202
18465,0.0,0.39195979899497485,18.385951163565593,5.129990166057695,0.7779576381774328
18466,0.0,0.3979899497487437,18.385951163565593,5.074897206644458,0.777944728922301
18467,0.0,0.4040201005025125,18.385951163565593,5.021682898815728,0.7779330534174287
18468,0.0,0.41005025125628136,18.385951163565593,4.970233887064442,0.7779190028282451
18469,0.0,0.41608040201005025,18.385951163565593,4.920501263701407,0.7779075207815921
18470,0.0,0.4221105527638191,18.385951163565593,4.87239182997499,0.7778950948436167
18471,0.0,0.42814070351758793,18.385951163565593,4.825855775310501,0.7778819681840359
18472,0.0,0.43417085427135677,18.385951163565593,4.78079661962817,0.7778689629424174
18473,0.0,0.4402010050251256,18.385951163565593,4.737242969983106,0.7778560059984964
18474,0.0,0.44623115577889444,18.385951163565593,4.695085539698792,0.777842765575614
18475,0.0,0.4522613065326633,18.385951163565593,4.654196643303081,0.7778289135627292
18476,0.0,0.45829145728643217,18.385951163565593,4.614671585874786,0.777815767569803
18477,0.0,0.464321608040201,18.385951163565593,4.5763341742812,0.7778039962381322
18478,0.0,0.47035175879396984,18.385951163565593,4.539225913563211,0.7777904221654213
18479,0.0,0.4763819095477387,18.385951163565593,4.503274556210636,0.7777777801633984
18480,0.0,0.4824120603015075,18.385951163565593,4.468445758539508,0.7777647403846133
18481,0.0,0.48844221105527635,18.385951163565593,4.434695928409951,0.7777507839405826
18482,0.0,0.4944723618090452,18.385951163565593,4.402005791065195,0.7777366307758994
18483,0.0,0.5005025125628141,18.385951163565593,4.370310058089808,0.7777228002106146
18484,0.0,0.5065326633165829,18.385951163565593,4.33960325416287,0.7777098749757196
18485,0.0,0.5125628140703518,18.385951163565593,4.309859067917312,0.777694614252556
18486,0.0,0.5185929648241205,18.385951163565593,4.281020220678929,0.7776805147254222
18487,0.0,0.5246231155778894,18.385951163565593,4.253162222956703,0.7776671743570855
18488,0.0,0.5306532663316583,18.385951163565593,4.226010964465585,0.7776544535587039
18489,0.0,0.5366834170854271,18.385951163565593,4.199784600012027,0.7776404237840171
18490,0.0,0.542713567839196,18.385951163565593,4.17437827699559,0.7776260741346865
18491,0.0,0.5487437185929648,18.385951163565593,4.149768121414001,0.7776122718390859
18492,0.0,0.5547738693467337,18.385951163565593,4.125936399696853,0.7775971490078378
18493,0.0,0.5608040201005025,18.385951163565593,4.102910063067771,0.7775828427823288
18494,0.0,0.5668341708542713,18.385951163565593,4.080520806221559,0.7775673979374979
18495,0.0,0.5728643216080401,18.385951163565593,4.058898739143315,0.7775525598297064
18496,0.0,0.578894472361809,18.385951163565593,4.037980832102857,0.77753950058731
18497,0.0,0.5849246231155779,18.385951163565593,4.0177446662690475,0.7775229524672848
18498,0.0,0.5909547738693467,18.385951163565593,3.9981778294774717,0.7775085828229008
18499,0.0,0.5969849246231156,18.385951163565593,3.979264037611996,0.7774929867314262
18500,0.0,0.6030150753768844,18.385951163565593,3.9609879553599177,0.7774766561779202
18501,0.0,0.6090452261306533,18.385951163565593,3.9433531059514593,0.7774625794284975
18502,0.0,0.615075376884422,18.385951163565593,3.9263207345942632,0.7774484048472637
18503,0.0,0.6211055276381909,18.385951163565593,3.9098832148141174,0.7774330426902538
18504,0.0,0.6271356783919597,18.385951163565593,3.894059406570097,0.7774176325446385
18505,0.0,0.6331658291457286,18.385951163565593,3.878771053368914,0.7774011638903777
18506,0.0,0.6391959798994975,18.385951163565593,3.8640948918138633,0.7773842703877478
18507,0.0,0.6452261306532663,18.385951163565593,3.84996563265086,0.7773685502271732
18508,0.0,0.6512562814070352,18.385951163565593,3.8363820144508622,0.7773501101951549
18509,0.0,0.657286432160804,18.385951163565593,3.8233504835082788,0.7773355842087956
