,Meta,c,a_apc,Apc_Period,Apc_Amplitude
327,0.0,0.957286432160804,0.08,0.0,0.0
328,0.0,0.964824120603015,0.08,0.0,0.0
329,0.0,0.9723618090452261,0.08,0.0,0.0
330,0.0,0.9798994974874371,0.08,0.0,0.0
331,0.0,0.9874371859296482,0.08,0.0,0.0
332,0.0,0.9949748743718593,0.08,0.0,0.0
333,0.0,1.0025125628140703,0.08,0.0,0.0
334,0.0,1.0100502512562815,0.08,0.0,0.0
335,0.0,1.0175879396984924,0.08,0.0,0.0
336,0.0,1.0251256281407035,0.08,0.0,0.0
337,0.0,1.0326633165829144,0.08,0.0,0.0
338,0.0,1.0402010050251256,0.08,0.0,0.0
339,0.0,1.0477386934673367,0.08,0.0,0.0
340,0.0,1.0552763819095476,0.08,0.0,0.0
341,0.0,1.0628140703517588,0.08,0.0,0.0
342,0.0,1.0703517587939697,0.08,0.0,0.0
343,0.0,1.0778894472361809,0.08,0.0,0.0
344,0.0,1.085427135678392,0.08,0.0,0.0
345,0.0,1.092964824120603,0.08,0.0,0.0
346,0.0,1.100502512562814,0.08,0.0,0.0
347,0.0,1.108040201005025,0.08,0.0,0.0
348,0.0,1.1155778894472361,0.08,0.0,0.0
349,0.0,1.1231155778894473,0.08,0.0,0.0
350,0.0,1.1306532663316582,0.08,0.0,0.0
351,0.0,1.1381909547738693,0.08,0.0,0.0
352,0.0,1.1457286432160803,0.08,0.0,0.0
353,0.0,1.1532663316582914,0.08,0.0,0.0
354,0.0,1.1608040201005025,0.08,0.0,0.0
355,0.0,1.1683417085427135,0.08,0.0,0.0
356,0.0,1.1758793969849246,0.08,0.0,0.0
357,0.0,1.1834170854271355,0.08,0.0,0.0
358,0.0,1.1909547738693467,0.08,0.0,0.0
359,0.0,1.1984924623115578,0.08,0.0,0.0
360,0.0,1.2060301507537687,0.08,0.0,0.0
361,0.0,1.2135678391959799,0.08,0.0,0.0
362,0.0,1.2211055276381908,0.08,0.0,0.0
363,0.0,1.228643216080402,0.08,0.0,0.0
364,0.0,1.236180904522613,0.08,0.0,0.0
365,0.0,1.243718592964824,0.08,0.0,0.0
366,0.0,1.2512562814070352,0.08,0.0,0.0
367,0.0,1.258793969849246,0.08,0.0,0.0
368,0.0,1.2663316582914572,0.08,0.0,0.0
369,0.0,1.2738693467336684,0.08,0.0,0.0
370,0.0,1.2814070351758793,0.08,0.0,0.0
371,0.0,1.2889447236180904,0.08,0.0,0.0
372,0.0,1.2964824120603013,0.08,0.0,0.0
373,0.0,1.3040201005025125,0.08,0.0,0.0
374,0.0,1.3115577889447236,0.08,0.0,0.0
375,0.0,1.3190954773869346,0.08,0.0,0.0
376,0.0,1.3266331658291457,0.08,0.0,0.0
377,0.0,1.3341708542713566,0.08,0.0,0.0
378,0.0,1.3417085427135678,0.08,0.0,0.0
379,0.0,1.349246231155779,0.08,0.0,0.0
380,0.0,1.3567839195979898,0.08,0.0,0.0
381,0.0,1.364321608040201,0.08,0.0,0.0
382,0.0,1.371859296482412,0.08,0.0,0.0
383,0.0,1.379396984924623,0.08,0.0,0.0
384,0.0,1.3869346733668342,0.08,0.0,0.0
385,0.0,1.394472361809045,0.08,0.0,0.0
386,0.0,1.4020100502512562,0.08,0.0,0.0
387,0.0,1.4095477386934672,0.08,0.0,0.0
388,0.0,1.4170854271356783,0.08,0.0,0.0
389,0.0,1.4246231155778895,0.08,0.0,0.0
390,0.0,1.4321608040201004,0.08,0.0,0.0
391,0.0,1.4396984924623115,0.08,0.0,0.0
392,0.0,1.4472361809045227,0.08,0.0,0.0
393,0.0,1.4547738693467336,0.08,0.0,0.0
394,0.0,1.4623115577889447,0.08,0.0,0.0
395,0.0,1.4698492462311556,0.08,0.0,0.0
396,0.0,1.4773869346733668,0.08,0.0,0.0
397,0.0,1.484924623115578,0.08,0.0,0.0
398,0.0,1.4924623115577889,0.08,0.0,0.0
399,0.0,1.5,0.08,0.0,0.0
400,0.0,0.0,0.16,0.0,0.0
401,0.0,0.007537688442211055,0.16,0.0,0.0
402,0.0,0.01507537688442211,0.16,0.0,0.0
403,0.0,0.022613065326633167,0.16,0.0,0.0
404,0.0,0.03015075376884422,0.16,0.0,0.0
405,0.0,0.03768844221105527,0.16,0.0,0.0
406,0.0,0.04522613065326633,0.16,0.0,0.0
407,0.0,0.052763819095477386,0.16,0.0,0.0
