,Meta,c,a,N_ss,SS_pos,Cdk1_Period,Cdk1_Amplitude
168,0.0,0.008053691275167784,1.274863525479931,1.0,Bottom,0.0,0.0
169,0.0,0.008053691275167784,1.3456892768954827,1.0,Bottom,0.0,0.0
170,0.0,0.008053691275167784,1.4165150283110344,1.0,Bottom,0.0,0.0
171,0.0,0.008053691275167784,1.4873407797265863,1.0,Bottom,0.0,0.0
172,0.0,0.008053691275167784,1.558166531142138,1.0,Bottom,0.0,0.0
173,0.0,0.008053691275167784,1.6289922825576897,1.0,Bottom,0.0,0.0
174,0.0,0.008053691275167784,1.6998180339732414,1.0,Bottom,0.0,0.0
175,0.0,0.008053691275167784,1.770643785388793,1.0,Bottom,0.0,0.0
176,0.0,0.008053691275167784,1.8414695368043448,1.0,Bottom,0.0,0.0
177,0.0,0.008053691275167784,1.9122952882198965,1.0,Bottom,0.0,0.0
178,0.0,0.008053691275167784,1.9831210396354484,1.0,Bottom,0.0,0.0
179,0.0,0.008053691275167784,2.053946791051,1.0,Bottom,0.0,0.0
180,0.0,0.008053691275167784,2.124772542466552,1.0,Bottom,0.0,0.0
181,0.0,0.008053691275167784,2.1955982938821035,1.0,Bottom,0.0,0.0
182,0.0,0.008053691275167784,2.266424045297655,1.0,Bottom,0.0,0.0
183,0.0,0.008053691275167784,2.337249796713207,1.0,Bottom,0.0,0.0
184,0.0,0.008053691275167784,2.4080755481287586,1.0,Bottom,0.0,0.0
185,0.0,0.008053691275167784,2.4789012995443103,1.0,Bottom,0.0,0.0
186,0.0,0.008053691275167784,2.549727050959862,1.0,Bottom,0.0,0.0
187,0.0,0.008053691275167784,2.6205528023754137,1.0,Bottom,0.0,0.0
188,0.0,0.008053691275167784,2.6913785537909654,1.0,Bottom,0.0,0.0
189,0.0,0.008053691275167784,2.762204305206517,1.0,Bottom,0.0,0.0
190,0.0,0.008053691275167784,2.8330300566220687,1.0,Bottom,0.0,0.0
191,0.0,0.008053691275167784,2.903855808037621,1.0,Bottom,0.0,0.0
192,0.0,0.008053691275167784,2.9746815594531726,1.0,Bottom,0.0,0.0
193,0.0,0.008053691275167784,3.0455073108687243,1.0,Bottom,0.0,0.0
194,0.0,0.008053691275167784,3.116333062284276,1.0,Bottom,0.0,0.0
195,0.0,0.008053691275167784,3.1871588136998277,1.0,Bottom,0.0,0.0
196,0.0,0.008053691275167784,3.2579845651153794,1.0,Bottom,0.0,0.0
197,0.0,0.008053691275167784,3.328810316530931,1.0,Bottom,0.0,0.0
198,0.0,0.008053691275167784,3.3996360679464828,1.0,Bottom,0.0,0.0
199,0.0,0.008053691275167784,3.4704618193620345,1.0,Bottom,0.0,0.0
200,0.0,0.008053691275167784,3.541287570777586,1.0,Bottom,0.0,0.0
201,0.0,0.008053691275167784,3.612113322193138,1.0,Bottom,0.0,0.0
202,0.0,0.008053691275167784,3.6829390736086896,1.0,Bottom,0.0,0.0
203,0.0,0.008053691275167784,3.7537648250242412,1.0,Bottom,0.0,0.0
204,0.0,0.008053691275167784,3.824590576439793,1.0,Bottom,0.0,0.0
205,0.0,0.008053691275167784,3.8954163278553446,1.0,Bottom,0.0,0.0
206,0.0,0.008053691275167784,3.966242079270897,1.0,Bottom,0.0,0.0
207,0.0,0.008053691275167784,4.037067830686448,1.0,Bottom,0.0,0.0
208,0.0,0.008053691275167784,4.107893582102,1.0,Bottom,0.0,0.0
209,0.0,0.008053691275167784,4.178719333517551,1.0,Bottom,0.0,0.0
210,0.0,0.008053691275167784,4.249545084933104,1.0,Bottom,0.0,0.0
211,0.0,0.008053691275167784,4.320370836348655,1.0,Bottom,0.0,0.0
212,0.0,0.008053691275167784,4.391196587764207,1.0,Bottom,0.0,0.0
213,0.0,0.008053691275167784,4.462022339179758,1.0,Bottom,0.0,0.0
214,0.0,0.008053691275167784,4.53284809059531,1.0,Bottom,0.0,0.0
215,0.0,0.008053691275167784,4.6036738420108625,1.0,Bottom,0.0,0.0
216,0.0,0.008053691275167784,4.674499593426414,1.0,Bottom,0.0,0.0
217,0.0,0.008053691275167784,4.745325344841966,1.0,Bottom,0.0,0.0
218,0.0,0.008053691275167784,4.816151096257517,1.0,Bottom,0.0,0.0
219,0.0,0.008053691275167784,4.886976847673069,1.0,Bottom,0.0,0.0
220,0.0,0.008053691275167784,4.9578025990886205,1.0,Bottom,0.0,0.0
221,0.0,0.008053691275167784,5.028628350504173,1.0,Bottom,0.0,0.0
222,0.0,0.008053691275167784,5.099454101919724,1.0,Bottom,0.0,0.0
223,0.0,0.008053691275167784,5.170279853335276,1.0,Bottom,0.0,0.0
224,0.0,0.008053691275167784,5.241105604750827,1.0,Bottom,0.0,0.0
225,0.0,0.008053691275167784,5.3119313561663795,1.0,Bottom,0.0,0.0
226,0.0,0.008053691275167784,5.382757107581931,1.0,Bottom,0.0,0.0
227,0.0,0.008053691275167784,5.453582858997483,1.0,Bottom,0.0,0.0
228,0.0,0.008053691275167784,5.524408610413034,1.0,Bottom,0.0,0.0
229,0.0,0.008053691275167784,5.595234361828586,1.0,Bottom,0.0,0.0
230,0.0,0.008053691275167784,5.6660601132441375,1.0,Bottom,0.0,0.0
231,0.0,0.008053691275167784,5.73688586465969,1.0,Bottom,0.0,0.0
232,0.0,0.008053691275167784,5.807711616075242,1.0,Bottom,0.0,0.0
233,0.0,0.008053691275167784,5.878537367490793,1.0,Bottom,0.0,0.0
234,0.0,0.008053691275167784,5.949363118906345,1.0,Bottom,0.0,0.0
235,0.0,0.008053691275167784,6.020188870321896,1.0,Bottom,0.0,0.0
236,0.0,0.008053691275167784,6.091014621737449,1.0,Bottom,0.0,0.0
237,0.0,0.008053691275167784,6.161840373153,1.0,Bottom,0.0,0.0
238,0.0,0.008053691275167784,6.232666124568552,1.0,Bottom,0.0,0.0
239,0.0,0.008053691275167784,6.303491875984103,1.0,Bottom,0.0,0.0
240,0.0,0.008053691275167784,6.374317627399655,1.0,Bottom,0.0,0.0
241,0.0,0.008053691275167784,6.445143378815207,1.0,Bottom,0.0,0.0
242,0.0,0.008053691275167784,6.515969130230759,1.0,Bottom,0.0,0.0
243,0.0,0.008053691275167784,6.58679488164631,1.0,Bottom,0.0,0.0
244,0.0,0.008053691275167784,6.657620633061862,1.0,Bottom,0.0,0.0
245,0.0,0.008053691275167784,6.728446384477413,1.0,Bottom,0.0,0.0
246,0.0,0.008053691275167784,6.7992721358929655,1.0,Bottom,0.0,0.0
247,0.0,0.008053691275167784,6.870097887308518,1.0,Bottom,0.0,0.0
248,0.0,0.008053691275167784,6.940923638724069,1.0,Bottom,0.0,0.0
249,0.0,0.008053691275167784,7.011749390139621,1.0,Bottom,0.0,0.0
250,0.0,0.008053691275167784,7.082575141555172,1.0,Bottom,0.0,0.0
251,0.0,0.008053691275167784,7.1534008929707245,1.0,Bottom,0.0,0.0
252,0.0,0.008053691275167784,7.224226644386276,1.0,Bottom,0.0,0.0
253,0.0,0.008053691275167784,7.295052395801828,1.0,Bottom,0.0,0.0
254,0.0,0.008053691275167784,7.365878147217379,1.0,Bottom,0.0,0.0
255,0.0,0.008053691275167784,7.436703898632931,1.0,Bottom,0.0,0.0
256,0.0,0.008053691275167784,7.5075296500484825,1.0,Bottom,0.0,0.0
257,0.0,0.008053691275167784,7.578355401464035,1.0,Bottom,0.0,0.0
258,0.0,0.008053691275167784,7.649181152879586,1.0,Bottom,0.0,0.0
259,0.0,0.008053691275167784,7.720006904295138,1.0,Bottom,0.0,0.0
260,0.0,0.008053691275167784,7.790832655710689,1.0,Bottom,0.0,0.0
261,0.0,0.008053691275167784,7.861658407126241,1.0,Bottom,0.0,0.0
262,0.0,0.008053691275167784,7.932484158541794,1.0,Bottom,0.0,0.0
263,0.0,0.008053691275167784,8.003309909957345,1.0,Bottom,0.0,0.0
264,0.0,0.008053691275167784,8.074135661372896,1.0,Bottom,0.0,0.0
265,0.0,0.008053691275167784,8.144961412788449,1.0,Bottom,0.0,0.0
266,0.0,0.008053691275167784,8.215787164204,1.0,Bottom,0.0,0.0
267,0.0,0.008053691275167784,8.286612915619552,1.0,Bottom,0.0,0.0
268,0.0,0.008053691275167784,8.357438667035103,1.0,Bottom,0.0,0.0
