,Meta,dsyn,acdk,Period,G1,SG2,M,E2F Amplitude,APC Amplitude
683,0.0,0.10743243243243245,5.769230769230769,2324.9821492054753,1364.4859472998278,817.3703805565428,143.12373088724598,0.995565223782336,0.9999962080886683
684,0.0,0.10743243243243245,6.0256410256410255,2407.5428984402733,1397.6708945699256,858.2815213570802,151.5853041338505,0.9960325571043985,0.9999968194551939
685,0.0,0.10743243243243245,6.282051282051282,2487.3654298716338,1428.5200171960623,898.7124878668528,160.12903051189278,0.9963823203666956,0.9999973182463446
686,0.0,0.10743243243243245,6.538461538461538,2564.6671518353596,1457.195329239631,938.7049024421576,168.76051806940814,0.9966931013071687,0.9999977319468226
687,0.0,0.10743243243243245,6.794871794871795,2639.636304504873,1483.8441901677788,978.2995107719707,177.48593136073396,0.9969701894546438,0.9999980736471404
688,0.0,0.10743243243243245,7.051282051282051,2712.4569389819926,1508.611204254179,1017.535098630924,186.30094053958237,0.9972179518310279,0.9999983580122146
689,0.0,0.10743243243243245,7.3076923076923075,2783.2958264764366,1531.69278273481,1056.4475737002103,195.12531361170022,0.9974919517078499,0.9999985953004765
690,0.0,0.10743243243243245,7.564102564102564,2852.309050623501,1553.685245462404,1095.066557908125,203.40409025807185,0.9976866784444138,0.9999987945119616
691,0.0,0.10743243243243245,7.82051282051282,2919.6417252219962,1574.6416400516864,1133.4198029379068,210.74627122355014,0.9978620928685357,0.9999989631163152
692,0.0,0.10743243243243245,8.076923076923077,2985.4569225247874,1595.493031354701,1171.5344835027618,216.29041785296977,0.9980204622129799,0.9999991054012807
693,0.0,0.10743243243243245,8.333333333333332,3049.7957915966863,1614.535461718182,1209.4345783296758,223.37715287623723,0.9981637489678312,0.9999992268778316
694,0.0,0.10743243243243245,8.58974358974359,3112.860999526725,1634.058448826925,1247.1403378029572,229.16916811951978,0.9982936570767392,0.9999993304170257
695,0.0,0.10743243243243245,8.846153846153847,3174.734422909307,1651.4098780448076,1284.6725930986986,233.99251337876058,0.9984116700770288,0.9999994184921471
696,0.0,0.10743243243243245,9.102564102564102,3235.5190295256334,1669.1428654173587,1322.0491358436748,239.55910465691704,0.9985561793412103,0.9999994940075989
697,0.0,0.10743243243243245,9.358974358974358,3295.170678358165,1686.4040454917986,1359.285615124345,240.5721304165445,0.9986508402161117,0.9999995583999329
698,0.0,0.10743243243243245,9.615384615384615,3354.2099097789105,1699.6496389049225,1396.396495050295,248.30910131680776,0.9987373388358909,0.9999996145332121
699,0.0,0.10743243243243245,9.871794871794872,3411.8295662948667,1721.2082700408728,1433.39725070013,248.56928199532376,0.9988165158096679,0.9999996624860703
700,0.0,0.10743243243243245,10.128205128205128,3469.440339685436,1733.8588258540913,1470.2988575377867,255.3126285312137,0.9988891111385773,0.9999997040681128
701,0.0,0.10743243243243245,10.384615384615383,3526.3253515994834,1746.417739105541,1507.1116971566644,261.4973869621899,0.9989557766479571,0.9999997401416518
702,0.0,0.10743243243243245,10.64102564102564,3581.791042289942,1762.9731241866284,1543.8309455825274,265.88705062615554,0.9990170733496815,0.9999997714319713
703,0.0,0.10743243243243245,10.897435897435898,3635.347850071906,1777.4085060763455,1579.0332240642292,270.4700551229362,0.9990714744164579,0.9999997982466589
704,0.0,0.10743243243243245,11.153846153846153,3682.76111932867,1788.5121737505942,1611.5312355472543,271.9642273779282,0.9991183072963352,0.9999998219004806
705,0.0,0.10743243243243245,11.410256410256409,3727.542271061131,1799.6347095727465,1642.38844918233,275.32265559144435,0.9991599600509863,0.9999998428166517
706,0.0,0.10743243243243245,11.666666666666666,3769.74701772692,1806.9304397602582,1672.070417041914,280.19108173261884,0.9991976118249253,0.9999998610811183
707,0.0,0.10743243243243245,11.923076923076923,3812.6803212367195,1820.6972271666464,1700.804105815907,282.8343213503531,0.9992319531513354,0.9999998765730621
708,0.0,0.10743243243243245,12.179487179487179,3853.507187289496,1826.5117670708032,1728.7306275092978,288.3699706152802,0.9992634647347417,0.9999998906909078
709,0.0,0.10743243243243245,12.435897435897434,3893.704807277777,1835.3119995525449,1755.9490743052374,292.4391544694172,0.9992925194987352,0.999999902891618
710,0.0,0.10743243243243245,12.692307692307692,3932.5644040292023,1848.145245683787,1782.5534494915591,291.2838031085612,0.9993194281746783,0.9999999136162979
711,0.0,0.10743243243243245,12.948717948717949,3969.855879685921,1859.4308885294085,1808.644138902093,295.2140249285121,0.9993622219502191,0.9999999231984605
