,Meta,dsyn,ddeg,Period,G1,SG2,M,E2F Amplitude,APC Amplitude
1082,0.0,0.07525252525252527,0.013282828282828282,0.0,0.0,0.0,0.0,0.0,0.0
1083,0.0,0.07525252525252527,0.013383838383838383,0.0,0.0,0.0,0.0,0.0,0.0
1084,0.0,0.07525252525252527,0.013484848484848485,0.0,0.0,0.0,0.0,0.0,0.0
1085,0.0,0.07525252525252527,0.013585858585858583,0.0,0.0,0.0,0.0,0.0,0.0
1086,0.0,0.07525252525252527,0.013686868686868685,0.0,0.0,0.0,0.0,0.0,0.0
1087,0.0,0.07525252525252527,0.013787878787878786,0.0,0.0,0.0,0.0,0.0,0.0
1088,0.0,0.07525252525252527,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0
1089,0.0,0.07525252525252527,0.01398989898989899,0.0,0.0,0.0,0.0,0.0,0.0
1090,0.0,0.07525252525252527,0.014090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
1091,0.0,0.07525252525252527,0.01419191919191919,0.0,0.0,0.0,0.0,0.0,0.0
1092,0.0,0.07525252525252527,0.014292929292929291,0.0,0.0,0.0,0.0,0.0,0.0
1093,0.0,0.07525252525252527,0.014393939393939393,0.0,0.0,0.0,0.0,0.0,0.0
1094,0.0,0.07525252525252527,0.014494949494949495,0.0,0.0,0.0,0.0,0.0,0.0
1095,0.0,0.07525252525252527,0.014595959595959596,0.0,0.0,0.0,0.0,0.0,0.0
1096,0.0,0.07525252525252527,0.014696969696969694,0.0,0.0,0.0,0.0,0.0,0.0
1097,0.0,0.07525252525252527,0.014797979797979796,0.0,0.0,0.0,0.0,0.0,0.0
1098,0.0,0.07525252525252527,0.014898989898989898,0.0,0.0,0.0,0.0,0.0,0.0
1099,0.0,0.07525252525252527,0.015,0.0,0.0,0.0,0.0,0.0,0.0
1100,0.0,0.07777777777777778,0.005,1741.8775022973732,973.4443587386304,638.6615400355331,129.76560589498604,0.8989403363178322,0.9999933691873603
1101,0.0,0.07777777777777778,0.005101010101010101,1776.0393273337131,1004.3324803949763,642.6359118693863,129.0648896871162,0.9013037970493535,0.9999933676990024
1102,0.0,0.07777777777777778,0.005202020202020202,1810.6507418531555,1035.5722140147027,646.6370182460942,128.39647928274917,0.9048388386507522,0.999993366075027
1103,0.0,0.07777777777777778,0.005303030303030303,1845.595416592807,1067.1717271112411,650.6603390478303,127.75822807545228,0.9855854433039044,0.9999933684193762
1104,0.0,0.07777777777777778,0.005404040404040404,1880.997589211931,1099.1402938584752,654.7031930784779,127.14938364313639,0.9863679126210874,0.999993367767773
1105,0.0,0.07777777777777778,0.005505050505050505,1916.8277924860395,1131.4910905424122,658.760741045724,126.56673231409513,0.9870451358831814,0.9999933671819847
1106,0.0,0.07777777777777778,0.005606060606060606,1953.079053909808,1164.2315265578027,662.8342089235794,126.00858132432768,0.9876228936032345,0.9999933679500848
1107,0.0,0.07777777777777778,0.005707070707070707,1989.7683908821082,1197.37553137153,666.9204304906561,125.47282485125288,0.9881072915452059,0.999993371253765
1108,0.0,0.07777777777777778,0.005808080808080808,2026.9176085183544,1230.9386403371645,671.0158572905766,124.95929125450766,0.9885389288021054,0.9999933698665457
1109,0.0,0.07777777777777778,0.005909090909090909,2064.431087536451,1264.9303924748856,675.1176117096293,124.46706792613895,0.9888668814108081,0.9999933693088989
1110,0.0,0.07777777777777778,0.00601010101010101,2102.516208431588,1299.372093037433,679.2286455559215,123.99248911525046,0.9891196862789042,0.9999933711824103
