,Meta,bsyn,bdeg,Period,G1,SG2,M,E2F Amplitude,APC Amplitude,RP
244,0.0,0.00101010101010101,0.0022222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,0.0,0.00101010101010101,0.0022727272727272726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,0.0,0.00101010101010101,0.0023232323232323234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,0.0,0.00101010101010101,0.002373737373737374,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,0.0,0.00101010101010101,0.0024242424242424242,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,0.0,0.00101010101010101,0.0024747474747474746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,0.0,0.00101010101010101,0.002525252525252525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,0.0,0.00101010101010101,0.002575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,0.0,0.00101010101010101,0.0026262626262626263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,0.0,0.00101010101010101,0.0026767676767676767,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,0.0,0.00101010101010101,0.0027272727272727275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,0.0,0.00101010101010101,0.002777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,0.0,0.00101010101010101,0.0028282828282828283,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,0.0,0.00101010101010101,0.0028787878787878787,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,0.0,0.00101010101010101,0.002929292929292929,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259,0.0,0.00101010101010101,0.00297979797979798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,0.0,0.00101010101010101,0.0030303030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,0.0,0.00101010101010101,0.0030808080808080807,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,0.0,0.00101010101010101,0.0031313131313131315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,0.0,0.00101010101010101,0.003181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,0.0,0.00101010101010101,0.0032323232323232323,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,0.0,0.00101010101010101,0.0032828282828282827,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,0.0,0.00101010101010101,0.003333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,0.0,0.00101010101010101,0.003383838383838384,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,0.0,0.00101010101010101,0.0034343434343434343,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,0.0,0.00101010101010101,0.0034848484848484847,0.0,0.0,0.0,0.0,0.0,0.0,0.0
