,Meta,tau,a,Cdk1_Period,Cdk1_Amplitude
193,0.0,0.050505050505050504,5.998243065137857,0.0,0.0
194,0.0,0.050505050505050504,6.137737089908505,0.0,0.0
195,0.0,0.050505050505050504,6.277231114679153,0.0,0.0
196,0.0,0.050505050505050504,6.416725139449801,0.0,0.0
197,0.0,0.050505050505050504,6.556219164220448,0.0,0.0
198,0.0,0.050505050505050504,6.695713188991096,0.0,0.0
199,0.0,0.050505050505050504,6.835207213761745,0.0,0.0
200,0.0,0.050505050505050504,6.9747012385323925,0.0,0.0
201,0.0,0.050505050505050504,7.11419526330304,0.0,0.0
202,0.0,0.050505050505050504,7.253689288073688,0.0,0.0
203,0.0,0.050505050505050504,7.393183312844336,0.0,0.0
204,0.0,0.050505050505050504,7.532677337614984,0.0,0.0
205,0.0,0.050505050505050504,7.672171362385631,0.0,0.0
206,0.0,0.050505050505050504,7.811665387156279,0.0,0.0
207,0.0,0.050505050505050504,7.951159411926927,0.0,0.0
208,0.0,0.050505050505050504,8.090653436697576,0.0,0.0
209,0.0,0.050505050505050504,8.230147461468222,0.0,0.0
210,0.0,0.050505050505050504,8.369641486238871,0.0,0.0
211,0.0,0.050505050505050504,8.509135511009518,0.0,0.0
212,0.0,0.050505050505050504,8.648629535780167,0.0,0.0
213,0.0,0.050505050505050504,8.788123560550813,0.0,0.0
214,0.0,0.050505050505050504,8.927617585321462,0.0,0.0
215,0.0,0.050505050505050504,9.06711161009211,0.0,0.0
216,0.0,0.050505050505050504,9.206605634862758,0.0,0.0
217,0.0,0.050505050505050504,9.346099659633406,0.0,0.0
218,0.0,0.050505050505050504,9.485593684404053,0.0,0.0
219,0.0,0.050505050505050504,9.625087709174702,0.0,0.0
220,0.0,0.050505050505050504,9.764581733945349,0.0,0.0
221,0.0,0.050505050505050504,9.904075758715997,0.0,0.0
222,0.0,0.050505050505050504,10.043569783486644,0.0,0.0
223,0.0,0.050505050505050504,10.183063808257293,0.0,0.0
224,0.0,0.050505050505050504,10.32255783302794,0.0,0.0
225,0.0,0.050505050505050504,10.462051857798588,0.0,0.0
226,0.0,0.050505050505050504,10.601545882569237,0.0,0.0
227,0.0,0.050505050505050504,10.741039907339884,0.0,0.0
228,0.0,0.050505050505050504,10.880533932110533,0.0,0.0
229,0.0,0.050505050505050504,11.02002795688118,0.0,0.0
230,0.0,0.050505050505050504,11.159521981651828,0.0,0.0
231,0.0,0.050505050505050504,11.299016006422475,0.0,0.0
232,0.0,0.050505050505050504,11.438510031193124,0.0,0.0
233,0.0,0.050505050505050504,11.57800405596377,0.0,0.0
234,0.0,0.050505050505050504,11.71749808073442,0.0,0.0
235,0.0,0.050505050505050504,11.856992105505066,0.0,0.0
236,0.0,0.050505050505050504,11.996486130275715,0.0,0.0
237,0.0,0.050505050505050504,12.135980155046363,0.0,0.0
238,0.0,0.050505050505050504,12.27547417981701,0.0,0.0
239,0.0,0.050505050505050504,12.414968204587659,0.0,0.0
240,0.0,0.050505050505050504,12.554462229358306,0.0,0.0
241,0.0,0.050505050505050504,12.693956254128954,0.0,0.0
242,0.0,0.050505050505050504,12.833450278899601,0.0,0.0
