,Meta,c,tau,Cdk1_Period,Cdk1_Amplitude
253,0.0,0.020168067226890754,1.6060606060606062,0.0,0.0
254,0.0,0.020168067226890754,1.6363636363636365,0.0,0.0
255,0.0,0.020168067226890754,1.6666666666666667,0.0,0.0
256,0.0,0.020168067226890754,1.696969696969697,0.0,0.0
257,0.0,0.020168067226890754,1.7272727272727273,0.0,0.0
258,0.0,0.020168067226890754,1.7575757575757576,0.0,0.0
259,0.0,0.020168067226890754,1.7878787878787878,0.0,0.0
260,0.0,0.020168067226890754,1.8181818181818183,0.0,0.0
261,0.0,0.020168067226890754,1.8484848484848486,0.0,0.0
262,0.0,0.020168067226890754,1.878787878787879,0.0,0.0
263,0.0,0.020168067226890754,1.9090909090909092,0.0,0.0
264,0.0,0.020168067226890754,1.9393939393939394,0.0,0.0
265,0.0,0.020168067226890754,1.9696969696969697,0.0,0.0
266,0.0,0.020168067226890754,2.0,0.0,0.0
267,0.0,0.020168067226890754,2.0303030303030303,0.0,0.0
268,0.0,0.020168067226890754,2.0606060606060606,0.0,0.0
269,0.0,0.020168067226890754,2.090909090909091,0.0,0.0
270,0.0,0.020168067226890754,2.121212121212121,0.0,0.0
271,0.0,0.020168067226890754,2.1515151515151514,0.0,0.0
272,0.0,0.020168067226890754,2.1818181818181817,0.0,0.0
273,0.0,0.020168067226890754,2.2121212121212124,0.0,0.0
274,0.0,0.020168067226890754,2.2424242424242427,0.0,0.0
275,0.0,0.020168067226890754,2.272727272727273,0.0,0.0
276,0.0,0.020168067226890754,2.303030303030303,0.0,0.0
277,0.0,0.020168067226890754,2.3333333333333335,0.0,0.0
278,0.0,0.020168067226890754,2.3636363636363638,0.0,0.0
279,0.0,0.020168067226890754,2.393939393939394,0.0,0.0
280,0.0,0.020168067226890754,2.4242424242424243,0.0,0.0
281,0.0,0.020168067226890754,2.4545454545454546,0.0,0.0
282,0.0,0.020168067226890754,2.484848484848485,0.0,0.0
283,0.0,0.020168067226890754,2.515151515151515,0.0,0.0
284,0.0,0.020168067226890754,2.5454545454545454,0.0,0.0
285,0.0,0.020168067226890754,2.5757575757575757,0.0,0.0
286,0.0,0.020168067226890754,2.606060606060606,0.0,0.0
287,0.0,0.020168067226890754,2.6363636363636362,0.0,0.0
288,0.0,0.020168067226890754,2.666666666666667,0.0,0.0
289,0.0,0.020168067226890754,2.6969696969696972,0.0,0.0
290,0.0,0.020168067226890754,2.7272727272727275,0.0,0.0
291,0.0,0.020168067226890754,2.757575757575758,0.0,0.0
292,0.0,0.020168067226890754,2.787878787878788,0.0,0.0
293,0.0,0.020168067226890754,2.8181818181818183,0.0,0.0
294,0.0,0.020168067226890754,2.8484848484848486,0.0,0.0
295,0.0,0.020168067226890754,2.878787878787879,0.0,0.0
296,0.0,0.020168067226890754,2.909090909090909,0.0,0.0
297,0.0,0.020168067226890754,2.9393939393939394,0.0,0.0
298,0.0,0.020168067226890754,2.9696969696969697,0.0,0.0
299,0.0,0.020168067226890754,3.0,0.0,0.0
300,0.0,0.03025210084033613,0.0,0.0,0.0
301,0.0,0.03025210084033613,0.030303030303030304,0.0,0.0
302,0.0,0.03025210084033613,0.06060606060606061,0.0,0.0
303,0.0,0.03025210084033613,0.09090909090909091,0.0,0.0
304,0.0,0.03025210084033613,0.12121212121212122,0.0,0.0
305,0.0,0.03025210084033613,0.15151515151515152,0.0,0.0
306,0.0,0.03025210084033613,0.18181818181818182,0.0,0.0
307,0.0,0.03025210084033613,0.21212121212121213,0.0,0.0
308,0.0,0.03025210084033613,0.24242424242424243,0.0,0.0
309,0.0,0.03025210084033613,0.2727272727272727,0.0,0.0
310,0.0,0.03025210084033613,0.30303030303030304,0.0,0.0
311,0.0,0.03025210084033613,0.33333333333333337,0.0,0.0
312,0.0,0.03025210084033613,0.36363636363636365,0.0,0.0
313,0.0,0.03025210084033613,0.3939393939393939,0.0,0.0
314,0.0,0.03025210084033613,0.42424242424242425,0.0,0.0
315,0.0,0.03025210084033613,0.4545454545454546,0.0,0.0
316,0.0,0.03025210084033613,0.48484848484848486,0.0,0.0
317,0.0,0.03025210084033613,0.5151515151515151,0.0,0.0
318,0.0,0.03025210084033613,0.5454545454545454,0.0,0.0
319,0.0,0.03025210084033613,0.5757575757575758,0.0,0.0
320,0.0,0.03025210084033613,0.6060606060606061,0.0,0.0
321,0.0,0.03025210084033613,0.6363636363636364,0.0,0.0
322,0.0,0.03025210084033613,0.6666666666666667,0.0,0.0
323,0.0,0.03025210084033613,0.696969696969697,0.0,0.0
324,0.0,0.03025210084033613,0.7272727272727273,0.0,0.0
325,0.0,0.03025210084033613,0.7575757575757576,0.0,0.0
326,0.0,0.03025210084033613,0.7878787878787878,0.0,0.0
327,0.0,0.03025210084033613,0.8181818181818182,0.0,0.0
328,0.0,0.03025210084033613,0.8484848484848485,0.0,0.0
329,0.0,0.03025210084033613,0.8787878787878788,0.0,0.0
330,0.0,0.03025210084033613,0.9090909090909092,0.0,0.0
331,0.0,0.03025210084033613,0.9393939393939394,0.0,0.0
332,0.0,0.03025210084033613,0.9696969696969697,0.0,0.0
333,0.0,0.03025210084033613,1.0,0.0,0.0
334,0.0,0.03025210084033613,1.0303030303030303,0.0,0.0
335,0.0,0.03025210084033613,1.0606060606060606,0.0,0.0
336,0.0,0.03025210084033613,1.0909090909090908,0.0,0.0
337,0.0,0.03025210084033613,1.1212121212121213,0.0,0.0
338,0.0,0.03025210084033613,1.1515151515151516,0.0,0.0
339,0.0,0.03025210084033613,1.1818181818181819,0.0,0.0
340,0.0,0.03025210084033613,1.2121212121212122,0.0,0.0
