,Meta,bsyn,bdeg,Apc_Period_Module,Apc_Amplitude_Module,Apc_Period_MA,Apc_Amplitude_MA
77,0.0,0.2644927536231884,0.060144927536231886,0.0,0.0,0.0,0.0
78,0.0,0.2644927536231884,0.06159420289855073,0.0,0.0,0.0,0.0
79,0.0,0.2644927536231884,0.06304347826086956,0.0,0.0,0.0,0.0
80,0.0,0.2644927536231884,0.0644927536231884,0.0,0.0,0.0,0.0
81,0.0,0.2644927536231884,0.06594202898550725,0.0,0.0,0.0,0.0
82,0.0,0.2644927536231884,0.06739130434782609,0.0,0.0,0.0,0.0
83,0.0,0.2644927536231884,0.06884057971014493,0.0,0.0,0.0,0.0
84,0.0,0.2644927536231884,0.07028985507246377,0.0,0.0,0.0,0.0
85,0.0,0.2644927536231884,0.07173913043478261,0.0,0.0,0.0,0.0
86,0.0,0.2644927536231884,0.07318840579710145,0.0,0.0,0.0,0.0
87,0.0,0.2644927536231884,0.0746376811594203,0.0,0.0,0.0,0.0
88,0.0,0.2644927536231884,0.07608695652173914,0.0,0.0,0.0,0.0
89,0.0,0.2644927536231884,0.07753623188405798,0.0,0.0,0.0,0.0
90,0.0,0.2644927536231884,0.07898550724637682,0.0,0.0,0.0,0.0
91,0.0,0.2644927536231884,0.08043478260869565,0.0,0.0,0.0,0.0
92,0.0,0.2644927536231884,0.0818840579710145,0.0,0.0,0.0,0.0
93,0.0,0.2644927536231884,0.08333333333333333,0.0,0.0,0.0,0.0
94,0.0,0.2644927536231884,0.08478260869565217,0.0,0.0,0.0,0.0
95,0.0,0.2644927536231884,0.08623188405797101,0.0,0.0,0.0,0.0
96,0.0,0.2644927536231884,0.08768115942028985,0.0,0.0,0.0,0.0
97,0.0,0.2644927536231884,0.0891304347826087,0.0,0.0,0.0,0.0
98,0.0,0.2644927536231884,0.09057971014492754,0.0,0.0,0.0,0.0
99,0.0,0.2644927536231884,0.09202898550724636,0.0,0.0,0.0,0.0
100,0.0,0.2644927536231884,0.0934782608695652,0.0,0.0,0.0,0.0
101,0.0,0.2644927536231884,0.09492753623188405,0.0,0.0,0.0,0.0
102,0.0,0.2644927536231884,0.09637681159420289,0.0,0.0,0.0,0.0
103,0.0,0.2644927536231884,0.09782608695652173,0.0,0.0,0.0,0.0
104,0.0,0.2644927536231884,0.09927536231884057,0.0,0.0,0.0,0.0
105,0.0,0.2644927536231884,0.10072463768115941,0.0,0.0,0.0,0.0
106,0.0,0.2644927536231884,0.10217391304347825,0.0,0.0,0.0,0.0
107,0.0,0.2644927536231884,0.1036231884057971,0.0,0.0,0.0,0.0
108,0.0,0.2644927536231884,0.10507246376811594,0.0,0.0,0.0,0.0
109,0.0,0.2644927536231884,0.10652173913043478,0.0,0.0,0.0,0.0
110,0.0,0.2644927536231884,0.10797101449275362,0.0,0.0,0.0,0.0
111,0.0,0.2644927536231884,0.10942028985507246,0.0,0.0,0.0,0.0
112,0.0,0.2644927536231884,0.1108695652173913,0.0,0.0,0.0,0.0
113,0.0,0.2644927536231884,0.11231884057971014,0.0,0.0,0.0,0.0
114,0.0,0.2644927536231884,0.11376811594202899,0.0,0.0,0.0,0.0
115,0.0,0.2644927536231884,0.11521739130434781,0.0,0.0,0.0,0.0
116,0.0,0.2644927536231884,0.11666666666666665,0.0,0.0,0.0,0.0
117,0.0,0.2644927536231884,0.1181159420289855,0.0,0.0,0.0,0.0
118,0.0,0.2644927536231884,0.11956521739130434,0.0,0.0,0.0,0.0
119,0.0,0.2644927536231884,0.12101449275362318,0.0,0.0,0.0,0.0
120,0.0,0.2644927536231884,0.12246376811594202,0.0,0.0,0.0,0.0
121,0.0,0.2644927536231884,0.12391304347826086,0.0,0.0,0.0,0.0
122,0.0,0.2644927536231884,0.1253623188405797,0.0,0.0,0.0,0.0
123,0.0,0.2644927536231884,0.12681159420289856,0.0,0.0,0.0,0.0
124,0.0,0.2644927536231884,0.12826086956521737,0.0,0.0,0.0,0.0
125,0.0,0.2644927536231884,0.12971014492753624,0.0,0.0,0.0,0.0
126,0.0,0.2644927536231884,0.13115942028985506,0.0,0.0,0.0,0.0
127,0.0,0.2644927536231884,0.13260869565217392,0.0,0.0,0.0,0.0
128,0.0,0.2644927536231884,0.13405797101449274,0.0,0.0,0.0,0.0
129,0.0,0.2644927536231884,0.13550724637681158,0.0,0.0,0.0,0.0
130,0.0,0.2644927536231884,0.13695652173913042,0.0,0.0,0.0,0.0
131,0.0,0.2644927536231884,0.13840579710144926,0.0,0.0,0.0,0.0
132,0.0,0.2644927536231884,0.1398550724637681,0.0,0.0,0.0,0.0
133,0.0,0.2644927536231884,0.14130434782608695,0.0,0.0,0.0,0.0
134,0.0,0.2644927536231884,0.1427536231884058,0.0,0.0,0.0,0.0
135,0.0,0.2644927536231884,0.14420289855072463,0.0,0.0,0.0,0.0
136,0.0,0.2644927536231884,0.14565217391304347,0.0,0.0,0.0,0.0
137,0.0,0.2644927536231884,0.1471014492753623,0.0,0.0,0.0,0.0
138,0.0,0.2644927536231884,0.14855072463768115,0.0,0.0,0.0,0.0
139,0.0,0.2644927536231884,0.15,0.0,0.0,0.0,0.0
140,0.0,0.27898550724637683,0.05,0.0,0.0,0.0,0.0
141,0.0,0.27898550724637683,0.051449275362318844,0.0,0.0,0.0,0.0
142,0.0,0.27898550724637683,0.052898550724637686,0.0,0.0,0.0,0.0
143,0.0,0.27898550724637683,0.05434782608695653,0.0,0.0,0.0,0.0
144,0.0,0.27898550724637683,0.05579710144927536,0.0,0.0,0.0,0.0
145,0.0,0.27898550724637683,0.0572463768115942,0.0,0.0,0.0,0.0
146,0.0,0.27898550724637683,0.058695652173913045,0.0,0.0,0.0,0.0
147,0.0,0.27898550724637683,0.060144927536231886,0.0,0.0,0.0,0.0
148,0.0,0.27898550724637683,0.06159420289855073,0.0,0.0,0.0,0.0
149,0.0,0.27898550724637683,0.06304347826086956,0.0,0.0,0.0,0.0
150,0.0,0.27898550724637683,0.0644927536231884,0.0,0.0,0.0,0.0
151,0.0,0.27898550724637683,0.06594202898550725,0.0,0.0,0.0,0.0
152,0.0,0.27898550724637683,0.06739130434782609,0.0,0.0,0.0,0.0
153,0.0,0.27898550724637683,0.06884057971014493,0.0,0.0,0.0,0.0
154,0.0,0.27898550724637683,0.07028985507246377,0.0,0.0,0.0,0.0
155,0.0,0.27898550724637683,0.07173913043478261,0.0,0.0,0.0,0.0
156,0.0,0.27898550724637683,0.07318840579710145,0.0,0.0,0.0,0.0
157,0.0,0.27898550724637683,0.0746376811594203,0.0,0.0,0.0,0.0
158,0.0,0.27898550724637683,0.07608695652173914,0.0,0.0,0.0,0.0
159,0.0,0.27898550724637683,0.07753623188405798,0.0,0.0,0.0,0.0
160,0.0,0.27898550724637683,0.07898550724637682,0.0,0.0,0.0,0.0
161,0.0,0.27898550724637683,0.08043478260869565,0.0,0.0,0.0,0.0
162,0.0,0.27898550724637683,0.0818840579710145,0.0,0.0,0.0,0.0
163,0.0,0.27898550724637683,0.08333333333333333,0.0,0.0,0.0,0.0
164,0.0,0.27898550724637683,0.08478260869565217,0.0,0.0,0.0,0.0
165,0.0,0.27898550724637683,0.08623188405797101,0.0,0.0,0.0,0.0
166,0.0,0.27898550724637683,0.08768115942028985,0.0,0.0,0.0,0.0
167,0.0,0.27898550724637683,0.0891304347826087,0.0,0.0,0.0,0.0
168,0.0,0.27898550724637683,0.09057971014492754,0.0,0.0,0.0,0.0
169,0.0,0.27898550724637683,0.09202898550724636,0.0,0.0,0.0,0.0
170,0.0,0.27898550724637683,0.0934782608695652,0.0,0.0,0.0,0.0
171,0.0,0.27898550724637683,0.09492753623188405,0.0,0.0,0.0,0.0
172,0.0,0.27898550724637683,0.09637681159420289,0.0,0.0,0.0,0.0
173,0.0,0.27898550724637683,0.09782608695652173,0.0,0.0,0.0,0.0
174,0.0,0.27898550724637683,0.09927536231884057,0.0,0.0,0.0,0.0
175,0.0,0.27898550724637683,0.10072463768115941,0.0,0.0,0.0,0.0
176,0.0,0.27898550724637683,0.10217391304347825,0.0,0.0,0.0,0.0
177,0.0,0.27898550724637683,0.1036231884057971,0.0,0.0,0.0,0.0
178,0.0,0.27898550724637683,0.10507246376811594,0.0,0.0,0.0,0.0
179,0.0,0.27898550724637683,0.10652173913043478,0.0,0.0,0.0,0.0
180,0.0,0.27898550724637683,0.10797101449275362,0.0,0.0,0.0,0.0
181,0.0,0.27898550724637683,0.10942028985507246,0.0,0.0,0.0,0.0
182,0.0,0.27898550724637683,0.1108695652173913,0.0,0.0,0.0,0.0
183,0.0,0.27898550724637683,0.11231884057971014,0.0,0.0,0.0,0.0
184,0.0,0.27898550724637683,0.11376811594202899,0.0,0.0,0.0,0.0
185,0.0,0.27898550724637683,0.11521739130434781,0.0,0.0,0.0,0.0
186,0.0,0.27898550724637683,0.11666666666666665,0.0,0.0,0.0,0.0
187,0.0,0.27898550724637683,0.1181159420289855,0.0,0.0,0.0,0.0
188,0.0,0.27898550724637683,0.11956521739130434,0.0,0.0,0.0,0.0
189,0.0,0.27898550724637683,0.12101449275362318,0.0,0.0,0.0,0.0
190,0.0,0.27898550724637683,0.12246376811594202,0.0,0.0,0.0,0.0
191,0.0,0.27898550724637683,0.12391304347826086,0.0,0.0,0.0,0.0
192,0.0,0.27898550724637683,0.1253623188405797,0.0,0.0,0.0,0.0
193,0.0,0.27898550724637683,0.12681159420289856,0.0,0.0,0.0,0.0
194,0.0,0.27898550724637683,0.12826086956521737,0.0,0.0,0.0,0.0
195,0.0,0.27898550724637683,0.12971014492753624,0.0,0.0,0.0,0.0
196,0.0,0.27898550724637683,0.13115942028985506,0.0,0.0,0.0,0.0
197,0.0,0.27898550724637683,0.13260869565217392,0.0,0.0,0.0,0.0
198,0.0,0.27898550724637683,0.13405797101449274,0.0,0.0,0.0,0.0
199,0.0,0.27898550724637683,0.13550724637681158,0.0,0.0,0.0,0.0
200,0.0,0.27898550724637683,0.13695652173913042,0.0,0.0,0.0,0.0
201,0.0,0.27898550724637683,0.13840579710144926,0.0,0.0,0.0,0.0
202,0.0,0.27898550724637683,0.1398550724637681,0.0,0.0,0.0,0.0
203,0.0,0.27898550724637683,0.14130434782608695,0.0,0.0,0.0,0.0
204,0.0,0.27898550724637683,0.1427536231884058,0.0,0.0,0.0,0.0
205,0.0,0.27898550724637683,0.14420289855072463,0.0,0.0,0.0,0.0
206,0.0,0.27898550724637683,0.14565217391304347,0.0,0.0,0.0,0.0
207,0.0,0.27898550724637683,0.1471014492753623,0.0,0.0,0.0,0.0
208,0.0,0.27898550724637683,0.14855072463768115,0.0,0.0,0.0,0.0
209,0.0,0.27898550724637683,0.15,0.0,0.0,0.0,0.0
210,0.0,0.2934782608695652,0.05,0.0,0.0,0.0,0.0
211,0.0,0.2934782608695652,0.051449275362318844,0.0,0.0,0.0,0.0
212,0.0,0.2934782608695652,0.052898550724637686,0.0,0.0,0.0,0.0
213,0.0,0.2934782608695652,0.05434782608695653,0.0,0.0,0.0,0.0
214,0.0,0.2934782608695652,0.05579710144927536,0.0,0.0,0.0,0.0
215,0.0,0.2934782608695652,0.0572463768115942,0.0,0.0,0.0,0.0
216,0.0,0.2934782608695652,0.058695652173913045,0.0,0.0,0.0,0.0
217,0.0,0.2934782608695652,0.060144927536231886,0.0,0.0,0.0,0.0
218,0.0,0.2934782608695652,0.06159420289855073,0.0,0.0,0.0,0.0
219,0.0,0.2934782608695652,0.06304347826086956,0.0,0.0,0.0,0.0
220,0.0,0.2934782608695652,0.0644927536231884,0.0,0.0,0.0,0.0
221,0.0,0.2934782608695652,0.06594202898550725,0.0,0.0,0.0,0.0
222,0.0,0.2934782608695652,0.06739130434782609,0.0,0.0,0.0,0.0
223,0.0,0.2934782608695652,0.06884057971014493,0.0,0.0,0.0,0.0
224,0.0,0.2934782608695652,0.07028985507246377,0.0,0.0,0.0,0.0
225,0.0,0.2934782608695652,0.07173913043478261,0.0,0.0,0.0,0.0
226,0.0,0.2934782608695652,0.07318840579710145,0.0,0.0,0.0,0.0
227,0.0,0.2934782608695652,0.0746376811594203,0.0,0.0,0.0,0.0
228,0.0,0.2934782608695652,0.07608695652173914,0.0,0.0,0.0,0.0
229,0.0,0.2934782608695652,0.07753623188405798,0.0,0.0,0.0,0.0
230,0.0,0.2934782608695652,0.07898550724637682,0.0,0.0,0.0,0.0
231,0.0,0.2934782608695652,0.08043478260869565,0.0,0.0,0.0,0.0
232,0.0,0.2934782608695652,0.0818840579710145,0.0,0.0,0.0,0.0
233,0.0,0.2934782608695652,0.08333333333333333,0.0,0.0,0.0,0.0
234,0.0,0.2934782608695652,0.08478260869565217,0.0,0.0,0.0,0.0
235,0.0,0.2934782608695652,0.08623188405797101,0.0,0.0,0.0,0.0
236,0.0,0.2934782608695652,0.08768115942028985,0.0,0.0,0.0,0.0
237,0.0,0.2934782608695652,0.0891304347826087,0.0,0.0,0.0,0.0
238,0.0,0.2934782608695652,0.09057971014492754,0.0,0.0,0.0,0.0
239,0.0,0.2934782608695652,0.09202898550724636,0.0,0.0,0.0,0.0
240,0.0,0.2934782608695652,0.0934782608695652,0.0,0.0,0.0,0.0
