,Meta,Omega,A_a,subcycles_osc,p/q,Locking
342,0.0,0.002089878738715213,2.4444444444444446,0.0,0.0,0.0
343,0.0,0.002089878738715213,2.6666666666666665,0.0,0.0,0.0
344,0.0,0.002089878738715213,2.888888888888889,0.0,0.0,0.0
345,0.0,0.002089878738715213,3.111111111111111,0.0,0.0,0.0
346,0.0,0.002089878738715213,3.333333333333333,0.0,0.0,0.0
347,0.0,0.002089878738715213,3.5555555555555554,0.0,0.0,0.0
348,0.0,0.002089878738715213,3.7777777777777777,2.0,2/1,2.0
349,0.0,0.002089878738715213,4.0,2.0,2/1,2.0
350,0.0,0.002112111491254737,2.0,0.0,0.0,0.0
351,0.0,0.002112111491254737,2.2222222222222223,0.0,0.0,0.0
352,0.0,0.002112111491254737,2.4444444444444446,0.0,0.0,0.0
353,0.0,0.002112111491254737,2.6666666666666665,0.0,0.0,0.0
354,0.0,0.002112111491254737,2.888888888888889,0.0,0.0,0.0
355,0.0,0.002112111491254737,3.111111111111111,0.0,0.0,0.0
356,0.0,0.002112111491254737,3.333333333333333,0.0,0.0,0.0
357,0.0,0.002112111491254737,3.5555555555555554,1.0,1/1,1.0
358,0.0,0.002112111491254737,3.7777777777777777,1.0,1/1,1.0
359,0.0,0.002112111491254737,4.0,1.0,1/1,1.0
360,0.0,0.00213434424379426,2.0,0.0,0.0,0.0
361,0.0,0.00213434424379426,2.2222222222222223,0.0,0.0,0.0
362,0.0,0.00213434424379426,2.4444444444444446,0.0,0.0,0.0
363,0.0,0.00213434424379426,2.6666666666666665,0.0,0.0,0.0
364,0.0,0.00213434424379426,2.888888888888889,0.0,0.0,0.0
365,0.0,0.00213434424379426,3.111111111111111,0.0,0.0,0.0
366,0.0,0.00213434424379426,3.333333333333333,1.0,1/1,1.0
367,0.0,0.00213434424379426,3.5555555555555554,1.0,1/1,1.0
368,0.0,0.00213434424379426,3.7777777777777777,1.0,1/1,1.0
369,0.0,0.00213434424379426,4.0,1.0,1/1,1.0
370,0.0,0.002156576996333784,2.0,0.0,0.0,0.0
371,0.0,0.002156576996333784,2.2222222222222223,0.0,0.0,0.0
372,0.0,0.002156576996333784,2.4444444444444446,0.0,0.0,0.0
373,0.0,0.002156576996333784,2.6666666666666665,0.0,0.0,0.0
374,0.0,0.002156576996333784,2.888888888888889,0.0,0.0,0.0
375,0.0,0.002156576996333784,3.111111111111111,0.0,0.0,0.0
376,0.0,0.002156576996333784,3.333333333333333,2.0,2/1,2.0
377,0.0,0.002156576996333784,3.5555555555555554,1.0,1/1,1.0
378,0.0,0.002156576996333784,3.7777777777777777,1.0,1/1,1.0
379,0.0,0.002156576996333784,4.0,1.0,1/1,1.0
380,0.0,0.0021788097488733074,2.0,0.0,0.0,0.0
381,0.0,0.0021788097488733074,2.2222222222222223,0.0,0.0,0.0
382,0.0,0.0021788097488733074,2.4444444444444446,0.0,0.0,0.0
383,0.0,0.0021788097488733074,2.6666666666666665,0.0,0.0,0.0
384,0.0,0.0021788097488733074,2.888888888888889,0.0,0.0,0.0
385,0.0,0.0021788097488733074,3.111111111111111,0.0,0.0,0.0
386,0.0,0.0021788097488733074,3.333333333333333,1.0,1/1,1.0
387,0.0,0.0021788097488733074,3.5555555555555554,1.0,1/1,1.0
388,0.0,0.0021788097488733074,3.7777777777777777,1.0,1/1,1.0
